,,,,,,
,,,,,,
Question,Option A,Option B,Option C,Option D,Hint,Answer
What is the chemical symbol for water?,H2O,CO2,O2,CH4,It’s the most common liquid on Earth.,H2O
"Who painted the ""Starry Night""?",Claude Monet,Vincent van Gogh,Edgar Degas,Paul Cézanne,He was a Dutch Post-Impressionist artist.,Vincent van Gogh
What is the main ingredient in traditional sushi?,Rice,Fish,Seaweed,Soy sauce,It’s often paired with wasabi.,Rice
What is the capital of Canada?,Toronto,Ottawa,Vancouver,Montreal,It is located in Ontario.,Ottawa
Who was the first woman to win a Nobel Prize?,Marie Curie,Florence Nightingale,Ada Lovelace,Rosalind Franklin,She won Nobel Prizes in both Physics and Chemistry.,Marie Curie
What is the national flower of Japan?,Rose,Chrysanthemum,Lotus,Orchid,It blooms in the fall.,Chrysanthemum
Which of the following is NOT a primary color?,Blue,Red,Green,Yellow,Primary colors are used to create all other colors.,Green
Who invented the light bulb?,Nikola Tesla,Thomas Edison,Alexander Graham Bell,Benjamin Franklin,He also developed the phonograph.,Thomas Edison
In which city is the famous statue of Christ the Redeemer?,Rio de Janeiro,Buenos Aires,Lima,Santiago,It overlooks the city from the top of Mount Corcovado.,Rio de Janeiro
Which animal is the symbol of Australia?,Koala,Kangaroo,Platypus,Dingo,It is known for hopping and carrying young in a pouch.,Kangaroo
What is the tallest building in the world?,Burj Khalifa,Empire State Building,Shanghai Tower,One World Trade Center,"It is located in Dubai, United Arab Emirates.",Burj Khalifa
What is the name of the ship that brought the Pilgrims to America in 1620?,Mayflower,Santa Maria,Titanic,Nina,"It carried settlers to Plymouth, Massachusetts.",Mayflower
Which ocean is located between Africa and Australia?,Indian Ocean,Atlantic Ocean,Southern Ocean,Pacific Ocean,It is the third-largest ocean in the world.,Indian Ocean
What is the name of the largest volcano on Earth?,Mount St. Helens,Mauna Loa,Vesuvius,Kilauea,It is located in Hawaii.,Mauna Loa
"What is the first book in the ""Lord of the Rings"" series?",The Hobbit,The Two Towers,The Fellowship of the Ring,Return of the King,It was published in 1954.,The Fellowship of the Ring.
